"","PREDDEG_factor","Control_factor","NPT4_COMBINE","DEP_STAT_PCT_IND","PAR_ED_PCT_1STGEN","MD_FAMINC","PCTPELL","PCTFLOAN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","APPL_SCH_PCT_GE2","MD_EARN_WNE_P6","MD_EARN_WNE_P10","RPY_3YR_RT_SUPP","CDR3"
"120272","Certificate-degree","Private For-profit",10073,0.547008547,0.3977272727,23554.30894,0.5042,0.4958,7222,3238.5,0.452991453,25000,30600,0.4088072088,0.312
"235097","Bachelor's-degree","Public",11980,0.3370868144,0.3626153229,36610.26565,0.3894,0.5453,19010.5,8351.5,0.6198692336,31800,41000,0.6656449553,0.076
"467809","Certificate-degree","Private For-profit",14615,0.4015009381,0.460385439,29853.27419,0.3806,0.4851,9866,4750,0.3677298311,21900,24000,0.5324675325,0.098
"458618","Certificate-degree","Private For-profit",18148,0.6210642317,0.5281557463,16010.84933,0.7778,0.8532,9500,4750,0.3981423174,26300,34200,0.43514461,0.267
"37564704","NotClassified","Private For-profit",14962.5,0.6112138016,0.4772727273,11007.04705,0.5266,0.6008,9500,8573.5,0.4,14000,14800,0.0747663551,0.403
"44098904","NotClassified","Private For-profit",14962.5,0.7602739726,0.5734406439,10345.17316,0.5266,0.6008,13000,6206,0.3181126332,14800,16800,0.0918287938,0.268
"468398","Associate's-degree","Private For-profit",17093,0.7904077442,0.5848656294,15267.65023,0.663,0.8696,24709,6132,0.4892930478,21400,23900,0.232300885,0.216
"196866","Bachelor's-degree","Private Nonprofit",31176,0.0179104478,0.1242138365,107203.7151,0.1689,0.5779,25000,5500,0.6746268657,42100,64000,0.8817427386,0.025
"118541","Associate's-degree","Private Nonprofit",19721,0.0799347471,0.3711538462,40381.79021,0.3944,0.5753,13000,9000,0.792822186,27300,36200,0.5596707819,0.123
"371690","Certificate-degree","Public",1770,0.6752767528,0.6696269982,16892.83114,0.0698,0,14000,5500,0.356703567,25000,30600,0.4088072088,0
"135522","Certificate-degree","Public",8183,0.6843177189,0.6005291005,16803.2671,0.4122,0,14000,5500,0.3686354379,25900,28200,0.4088072088,0
"234085","Bachelor's-degree","Public",15476,0.0184563758,0.1563573883,104966.4176,0.172,0.4685,21500,5875,0.5083892617,42200,59200,0.8498293515,0.076
"475413","Certificate-degree","Private For-profit",11954,0.5714285714,0.5076923077,27712.16685,0.5366,0.8049,12000,5500,0.4167031045,25000,30600,0.4088072088,0
"444291","Certificate-degree","Private For-profit",13975,0.5838150289,0.5086455331,15836.98963,0.7021,0.6894,12100,3977,0.4173410405,18000,19900,0.2479508197,0.212
"418001","Certificate-degree","Public",14717,0.8231046931,0.5433070866,24175.96792,0.7472,0.9368,12125,4750,0.2202166065,30500,37400,0.3921568627,0.109
"106306","Associate's-degree","Private Nonprofit",17309,0.3397683398,0.5097465887,14910.83168,0.8365,0.8533,33860,9500,0.6625482625,15300,22000,0.1018276762,0.274
"155627","Bachelor's-degree","Private Nonprofit",16001,0.7542496357,0.4579180509,35290.33811,0.4444,0.8236,22474,7500,0.5206410879,36700,40300,0.479616307,0.095
