,PREDDEG_factor,Control_factor,NPT4_COMBINE,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN,MD_FAMINC,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,APPL_SCH_PCT_GE2,MD_EARN_WNE_P6,MD_EARN_WNE_P10,RPY_3YR_RT_SUPP,CDR3
175342,Bachelor's-degree,Public,13009,0.343705122,0.384149697,17336.9279,0.8434,0.8659,25000,9500,0.62087123,23800,30400,0.175831636,0.158
196185,Bachelor's-degree,Public,15779,0.042318634,0.258136925,80865.62736,0.2941,0.635,22035,10250,0.681721195,30800,42300,0.787866109,0.073
148335,Associate's-degree,Private Nonprofit,18471,0.378378378,0.470787787,26716.80372,0.6445,0.8414,23775,7306.5,0.591523342,26800,31800,0.373717091,0.054
204060,Associate's-degree,Private For-profit,20822,0.733513514,0.610119563,15222.72527,0.9239,0.8648,17264,4750,0.41972973,21100,26700,0.333063864,0.187
183141,Associate's-degree,Public,13268,0.376292212,0.426594927,37720.5899,0.2986,0.4603,13000,5500,0.365265334,28600,35200,0.575528701,0.15
153144,Bachelor's-degree,Private Nonprofit,20003,0.048571429,0.229607251,74928.74681,0.2652,0.8386,26422.5,8508,0.802857143,36300,42400,0.809174312,0.047
156471,Certificate-degree,Private For-profit,18594,0.79973545,0.507038035,31019.94132,0.5365,0.8141,18834,4750,0.456084656,40600,38000,0.404182879,0.143
224961,Certificate-degree,Public,4248,0.530886303,0.542002302,15370.24251,0.4149,0.1256,7628.5,3500,0.381378693,25000,32700,0.43852459,0.181
375984,Certificate-degree,Private For-profit,15419,0.58123108,0.606896552,8427.449068,0.6463,0.6382,12663,5792.5,0.472250252,13500,16700,0.114068441,0.228
215974,Certificate-degree,Private Nonprofit,19592,0.63963964,0.388059702,36752.28414,0.3058,0.6391,16666.5,5500,0.382882883,51100,49600,0.64321608,0.058
192156,Associate's-degree,Private For-profit,11753,0.644162033,0.620454546,15052.14906,0.6427,0.7577,9500,4750,0.350277998,26800,33300,0.283803863,0.262
173629,Associate's-degree,Private For-profit,22273,0.698585419,0.488853503,22790.87967,0.5886,0.7298,24373,6334,0.316376496,26100,29100,0.36248237,0.175
450872,Certificate-degree,Private For-profit,20919,0.611213802,0.511732261,13603.23841,0.6489,0.7634,14144,4750,0.459026494,18600,21500,0.336073998,0.097
198242,Associate's-degree,Private For-profit,30719,0.860273973,0.42721519,21170.61722,0.7143,0.8249,25607,5552.5,0.367123288,23200,21400,0.346938776,0.317
219046,Bachelor's-degree,Public,14965,0.328689371,0.320221607,42529.21972,0.3833,0.613,24800,7501,0.407636739,28000,34400,0.659651233,0.097
417549,Certificate-degree,Private For-profit,11420,0.70781893,0.688888889,6640.589474,0.9466,0.9485,9500,4750,0.417695473,13100,15400,0.081364829,0.095
101505,Associate's-degree,Public,9273,0.5379574,0.495670103,21074.96521,0.365,0.2411,8250,3500,0.462952849,26600,29400,0.479095271,0.16
196699,Associate's-degree,Public,3996,0.372575251,0.434210526,23284.54233,0.2935,0.1814,8000,3900,0.305685619,24900,30800,0.4976,0.192
163268,Bachelor's-degree,Public,13637,0.251087482,0.263838593,50234.69967,0.2775,0.4252,20500,8250,0.720396327,38900,53700,0.708548708,0.053
126702,Certificate-degree,Private For-profit,26862,0.541814947,0.410031024,24234.97482,0.5098,0.7922,28944,6334,0.354092527,24600,32200,0.416032244,0.185
197197,Bachelor's-degree,Private Nonprofit,27155,0.08742515,0.247776366,88321.59332,0.1968,0.6086,25000,6000,0.716167665,40700,54800,0.844094488,0.047
460136,Certificate-degree,Private For-profit,10016,0.662809568,0.505679392,20438.00974,0.6064,0.7447,8708,3745,0.369717068,25000,28200,0.398484849,0.115
129154,Associate's-degree,Private Nonprofit,19889,0.74419937,0.544086774,28392.34443,0.552,0.8379,29413,8250,0.397020911,32400,27500,0.345545977,0.085
164447,Bachelor's-degree,Private Nonprofit,19184,0.280295047,0.401719902,40699.93281,0.5335,0.8478,25000,8750,0.723919916,33400,38900,0.499466382,0.08
147411,Associate's-degree,Public,4682,0.343007916,0.668642561,23512.0124,0.4366,0.0637,8000,4750,0.503078276,24800,30500,0.246511628,0.284
